ALL,,EFSampler-λ1,,,EFSampler-λ10,,,EFSampler-λ50,,,EFSampler-λ100,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,211,2.13,2.80,213,1.71,5.37,213,1.64,7.58,210,1.61,11.89
90%,210,12.49,5.74,212,3.69,7.40,212,2.58,10.63,208,2.54,17.64
95%,190,23.12,10.22,212,7.70,10.72,212,8.08,14.49,195,5.59,21.49
98%,178,50.01,43.77,206,11.90,25.61,206,14.16,39.93,176,7.91,27.90
99%,160,65.57,64.65,199,22.08,54.25,200,25.61,89.61,164,9.90,37.90
99.50%,149,70.54,58.53,194,30.84,67.55,196,25.58,142.96,158,12.16,43.06
