ALL,,EFSampler,,,EFSampler-Alt1,,,EFSampler-Alt2,,,EFSampler-Alt3,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,550,1.67,121.60,521,1.74,145.58,529,1.75,121.77,523,4.22,62.22
90%,544,2.69,188.81,463,2.77,261.75,472,2.78,184.93,495,3.89,54.61
95%,531,4.38,206.80,369,3.56,321.35,407,4.59,148.21,487,4.63,58.94
98%,518,7.76,329.07,326,5.80,66.60,378,10.17,123.51,484,10.85,180.47
99%,488,11.27,426.77,322,11.14,113.64,363,18.76,194.98,452,12.89,391.36
99.50%,445,17.69,421.39,318,21.84,218.86,335,65.87,547.54,418,22.64,205.88
