ALL,,EFSampler,,,EFSampler-Alt1,,,EFSampler-Alt2,,,EFSampler-Alt3,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,213,1.64,7.58,199,9.46,19.48,212,1.64,6.85,212,1.86,6.59
90%,212,2.58,10.63,175,38.94,20.65,210,2.77,11.23,206,8.63,9.66
95%,212,8.08,14.49,147,53.33,24.70,199,4.95,13.45,188,3.82,10.44
98%,206,14.16,39.93,111,43.93,19.43,175,10.29,21.81,168,6.76,19.15
99%,200,25.61,89.61,96,51.78,55.66,162,14.40,28.74,155,7.54,19.44
99.50%,196,25.58,142.96,90,43.37,26.51,150,30.05,58.44,146,10.63,33.98
