ALL,,EFSampler-λ1,,,EFSampler-λ10,,,EFSampler-λ50,,,EFSampler-λ100,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,533,1.75,121.80,545,1.67,93.00,550,1.67,121.60,522,1.73,144.89
90%,484,2.93,241.94,534,2.67,134.05,544,2.69,188.81,466,2.75,278.56
95%,403,4.56,276.54,520,4.33,174.09,531,4.38,206.80,380,3.51,276.07
98%,359,7.49,126.27,504,7.66,267.07,518,7.76,329.07,345,5.38,133.64
99%,351,11.17,236.71,473,11.29,312.80,488,11.27,426.77,340,8.35,194.10
99.50%,332,18.72,190.05,443,20.01,307.74,445,17.69,421.39,334,15.42,275.51
